numero,id,marca,modelo,año_modelo,millaje,tipo_combustible,motor,transmisión,color_exterior,color_interior,accidente,sin_daños,precio
32,23703,BMW,M550 i xDrive,2021,18200,Gasoline,456.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,
33,98791,BMW,M4 Base,2015,81000,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,
34,173099,Mazda,CX-5 Touring,2014,116500,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Blue Reflex Mica,Black,At least 1 accident or damage reported,Yes,
35,176049,INFINITI,QX60 Base,2018,19700,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
36,127204,Genesis,GV70 3.5T Sport,2022,10400,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,
37,42691,Mercedes-Benz,Metris Base,2020,44000,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Brown,None reported,Yes,
38,40029,Ford,Mustang Premium,2007,191900,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,
39,15257,Ford,E350 Super Duty XLT,2010,26021,E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,
40,113927,Ford,Expedition Timberline,2019,37100,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,
41,34250,Chevrolet,Suburban RST,2015,134500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,Black,At least 1 accident or damage reported,Yes,
42,4298,Audi,A4 2.0T Premium Plus quattro,2014,87092,E85 Flex Fuel,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,None reported,Yes,
43,53089,Audi,A7 Premium Plus,2020,22000,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Black,None reported,Yes,
44,118028,Lexus,GX 460 Base,2012,106000,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,
45,113416,Porsche,Macan,2022,15198,Gasoline,2.0 Liter,Automatic,Black,Black,None reported,,
46,99797,BMW,X1 xDrive28i,2021,17400,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,
47,36478,Porsche,Macan,2015,30200,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Beige,None reported,Yes,
48,121301,Lexus,LS 460 Base,2013,29558,Gasoline,4.6L V8 32V MPFI DOHC,8-Speed Automatic,Black,Gray,None reported,,
49,83063,Mercedes-Benz,SL-Class SL500 Roadster,2011,76474,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,Yes,
50,70793,Porsche,Macan,2023,8457,Gasoline,2.9 Liter Turbo,Automatic,Gray,Black,None reported,,
51,157677,Mercedes-Benz,S-Class S 550 4MATIC,2012,132500,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
52,40816,Dodge,Charger GT,2018,77634,Gasoline,3.6L V6 24V MPFI DOHC,5-Speed Automatic,White Knuckle Clearcoat,Black,None reported,Yes,
53,21049,Pontiac,Firebird Trans Am,2006,93000,Gasoline,285.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,
54,168994,Ford,F-150 XLT,2022,17000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,
55,142128,BMW,330 i xDrive,2017,60000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,Yes,
56,168762,Ford,Fusion Hybrid SE Hybrid,2011,141209,Hybrid,188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Beige,None reported,Yes,
57,66748,Rivian,R1S Launch Edition,2023,299,,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Green,Gray,None reported,Yes,
58,118552,Lexus,GX 460 Base,2016,58500,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,None reported,Yes,
59,38214,Honda,Element EX,2011,139804,Gasoline,166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,
60,20368,Lamborghini,Huracan LP580-2S,2019,17175,Gasoline,5.2L V10 40V GDI DOHC,7-Speed Automatic with Auto-Shift,Rosso Mars Metallic,Nero Ade,None reported,Yes,
61,154755,Chevrolet,Corvette Stingray w/2LT,2021,13700,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,
62,171871,BMW,M4 Competition xDrive,2023,14700,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,
63,115901,Chevrolet,Silverado 1500 LT Trail Boss,2019,51850,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,None reported,Yes,
64,76830,Mercedes-Benz,E-Class E 350 4MATIC,2019,28690,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Beige,None reported,Yes,
65,77631,Mercedes-Benz,E-Class E 550,2017,60000,Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,
66,142367,Mercedes-Benz,AMG C 43 Base 4MATIC,2020,52750,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,
67,133692,BMW,328 i xDrive,2015,152000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,At least 1 accident or damage reported,Yes,
68,111797,Acura,ILX 2.4L,2008,141800,Gasoline,150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,Gray,At least 1 accident or damage reported,Yes,
69,72991,Ford,F-250 XLT,2019,102000,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Blue,Gray,None reported,Yes,
70,92627,Mercedes-Benz,AMG GT C,2018,62930,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Gray,None reported,Yes,
71,92613,Jeep,Gladiator Willys,2021,57352,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Bright White Clearcoat,Black,None reported,Yes,
72,84610,Ford,F-150 Raptor,2020,28260,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,Yes,
73,111833,Hyundai,Genesis 5,2015,54500,Gasoline,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,None reported,Yes,
74,165497,RAM,1500 Laramie,2020,107714,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Bright White Clearcoat,Black,At least 1 accident or damage reported,,
75,112178,Mercedes-Benz,C-Class C 300 4MATIC,2019,49860,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Obsidian Black Metallic,Black,At least 1 accident or damage reported,,
76,126612,Nissan,Rogue SL,2017,87000,Gasoline,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,
77,126654,Lexus,GX 460 Base,2020,124630,Gasoline,4.6L V8 32V MPFI DOHC,6-Speed Automatic,Caviar,Rioja Red,At least 1 accident or damage reported,Yes,
78,158802,Volkswagen,Golf SportWagen TSI SE,2009,67500,Gasoline,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,
79,39707,Jaguar,XJ Vanden Plas,2008,67800,Gasoline,300.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,A/T,White,–,None reported,Yes,
80,55201,Ford,Q5 S line Premium Plus,2019,39203,Gasoline,2.0 Liter TFSI,Automatic,Apex Blue,Pearl Beige,None reported,Yes,
81,157545,BMW,M440 i,2021,24300,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Beige,None reported,Yes,
82,157796,Ford,Escape SE,2001,159980,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Green,Beige,None reported,Yes,
83,173561,Lexus,IS 250 Base,2012,157500,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,None reported,Yes,
84,92765,Nissan,Juke SL,2018,59000,Gasoline,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,
85,78479,Hummer,H2 Base,2003,104000,Gasoline,316.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,Beige,At least 1 accident or damage reported,Yes,
86,167593,Chevrolet,Camaro 2SS,2012,95500,Gasoline,310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
87,9879,BMW,530 i,2018,58000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,
88,28254,Land,Rover Discovery HSE LUXURY,2015,51983,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,Yes,
89,47559,Mercedes-Benz,SL-Class SL 550,2013,96000,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,Yes,
90,150664,Ford,Edge SEL,2019,26465,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Silver,Ebony,None reported,,
91,76355,INFINITI,QX80 Luxe,2022,15183,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
92,145391,Acura,ILX Premium Package,2019,136397,Gasoline,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Gray,Ebony,None reported,,
93,72081,Land,Rover Range Rover HSE SWB,2020,29700,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Silver,Black,None reported,Yes,
94,176315,BMW,M3 CS,2024,11249,Gasoline,543.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,
95,29099,Chevrolet,Silverado 1500 Custom Trail Boss,2020,4517,Gasoline,5.3L V8 16V GDI OHV,10-Speed Automatic,Silver Ice Metallic,Jet Black,None reported,Yes,
96,80097,Mercedes-Benz,AMG GLE AMG GLE 63 S-Model 4MATIC,2016,6300,Gasoline,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,Yes,
97,139716,INFINITI,QX60 Luxe,2020,49400,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,Brown,At least 1 accident or damage reported,Yes,
98,83082,Ford,F-250 XLT Crew Cab Super Duty,2008,190321,Diesel,350.0HP 6.4L 8 Cylinder Engine Diesel Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,
99,151815,BMW,M4 Base,2018,25000,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Orange,None reported,Yes,
100,34910,Audi,A6 45 Premium Plus,2020,43277,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
101,135664,Chevrolet,Express 1500 Base,2010,157530,Gasoline,310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Gray,None reported,Yes,
102,55885,Chevrolet,Silverado 1500 LT Extended Cab,2005,190265,Gasoline,273.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,None reported,Yes,
103,153692,Tesla,Model X Long Range Plus,2021,13500,,518.0HP Electric Motor Electric Fuel System,A/T,Black,White,None reported,Yes,
104,69730,Audi,Q5 S line Premium Plus,2023,8497,Hybrid,2.0 Liter TFSI,Automatic,Daytona Gray,Black,None reported,,
105,108710,Tesla,Model X Long Range,2020,67073,,Electric,1-Speed Automatic,White,Black / Saddle,None reported,,
106,93920,Audi,A5 2.0T Premium Plus,2016,126500,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,
107,88560,Mercedes-Benz,G 550 4x4 Squared Base,2021,34602,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Silician Yellow,Black,None reported,Yes,
108,42059,Kia,Telluride SX,2021,48842,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Dark Moss,Gray,None reported,,
109,78710,Buick,Envision Essence,2020,25968,Gasoline,2.5L I4 16V GDI DOHC,9-Speed Automatic,Ebony Twilight Metallic,Ebony,At least 1 accident or damage reported,,
110,186499,BMW,M8 Competition,2020,25520,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Brands Hatch Gray Metallic,Black,None reported,,
111,45438,Ford,F-150 XLT,2017,49170,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,
112,167915,Mercedes-Benz,E-Class E 350 4MATIC,2015,96653,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,
113,93255,Subaru,Impreza WRX STI,2007,106000,Gasoline,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,
114,42183,Alfa,Romeo Giulia Ti,2021,21487,Gasoline,2.0 Liter,Automatic,Blu,Black,None reported,,
115,91856,Ford,F-150 Lariat,2022,33818,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,
116,150626,Mercedes-Benz,SL-Class SL500 Roadster,2005,58375,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,
117,55205,Acura,ILX Premium Package,2019,108206,Gasoline,2.4 Liter,F,Silver,Ebony,None reported,,
118,30169,Ford,Mustang Premium,2007,169613,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,
119,84703,Land,Rover Discovery LSE,2001,122000,Gasoline,217.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,
120,45267,Nissan,Genesis 3.8,2009,185963,Gasoline,260.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Purple,Beige,None reported,Yes,
121,37613,Volvo,XC90 T6 Momentum,2020,35000,Gasoline,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,
122,75325,RAM,1500 Rebel,2018,73800,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,
123,35387,Mercedes-Benz,Metris Base,2018,32000,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,
124,102117,Land,Rover Range Rover Sport Supercharged,2017,57000,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Brown,None reported,Yes,
125,24391,MINI,Cooper S Base,2011,162000,Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Beige,None reported,Yes,
126,186847,RAM,1500 Classic SLT,2021,28755,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Gray,None reported,Yes,
127,85163,Chevrolet,Camaro Base,1997,163500,Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,
128,179300,Jeep,Liberty Limited,2010,179200,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,
129,181279,Lexus,RX 350 Base,2018,66126,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Caviar,Red,None reported,,
130,156393,BMW,M4 Base,2017,53500,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,
131,66518,Tesla,Model S P100D,2021,18000,,518.0HP Electric Motor Electric Fuel System,A/T,White,Black,None reported,Yes,
132,19340,Jeep,Wrangler Sport,2007,174000,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,Gray,Gray,None reported,Yes,
133,98165,Mercedes-Benz,C-Class C 63 AMG,2014,64800,Gasoline,451.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,
134,175341,BMW,650 Gran Coupe i xDrive,2014,126500,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,
135,22752,Toyota,Tundra SR5,2020,53500,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,
136,38518,Ford,Expedition Limited,2021,25300,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Blue,Gray,None reported,Yes,
137,110073,Ford,Transit-350 Base,2020,21000,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,
138,6615,Ford,Bronco Raptor,2023,21478,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Silver Mist,Ebony,None reported,,
139,122794,Volvo,XC60 T6 Inscription,2019,24000,Gasoline,330.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,White,None reported,Yes,
140,10573,Land,Rover Range Rover Sport HSE,2007,141525,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,
141,2768,BMW,M4 Base,2019,23600,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,–,None reported,Yes,
142,185938,Audi,A5 2.0T Premium Plus,2012,112180,Gasoline,2.0 Liter Turbo,Automatic,Red,Black,None reported,,
143,117647,Audi,S5 3.0T Premium Plus,2019,57785,Gasoline,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,
144,148545,Ford,Mustang GT Premium,2011,131000,Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Red,None reported,Yes,
145,142130,Mercedes-Benz,G-Class G 550 4MATIC,2021,22480,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,
146,17899,MINI,Cooper S Base,2012,90000,Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,Yes,
147,138337,RAM,1500 Big Horn,2021,49583,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Bright White Clearcoat,Diesel Gray / Black,None reported,Yes,
148,80725,Alfa,Romeo Giulia Ti,2020,39611,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Rosso,Black,None reported,Yes,
149,142146,Ford,F-150 XLT,2021,49131,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Agate Black Metallic,Black,None reported,Yes,
150,146580,Subaru,WRX Limited,2015,29000,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,
151,145133,Ford,F-150 Limited,2020,26000,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,None reported,Yes,
152,106350,Alfa,Romeo Giulia Ti,2020,28567,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Alfa White,Black,None reported,Yes,
153,64821,Jeep,Compass Sport,2009,171000,Gasoline,172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Beige,Black,None reported,Yes,
154,123255,BMW,M3 CS,2024,3213,Gasoline,543.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,
155,49890,Lexus,RX 350 F Sport Performance,2022,17000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,Black,None reported,Yes,
156,72813,Porsche,911 Carrera S,2013,64000,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,
157,159278,GMC,Sierra 1500 Denali Ultimate,2023,2500,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,None reported,Yes,
158,47805,Ford,F-150 XLT,2018,41500,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Gray,None reported,Yes,
159,108374,Ford,Mustang GT Premium,2016,161000,Gasoline,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,
160,186468,INFINITI,QX60 Base,2016,95500,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,
